//(Note: The 'images' folder is assumed to be in the "/content/<course path>/" directory),,,,
//Question Text is always a required field,,,,
// An ID will be generated using the (Course code)-(Question number) if an ID is not specified for a question,,,,
,,,, 
// Please ensure that the CSV file is saved as "CSV UTF-8" encoded to ensure that non-ASCII characters like à, ø, é and other are able to be correctly imported,,,,
,,,, 
//MULTIPLE CHOICE QUESTION TYPE,,,,
//Question 1,,,,
NewQuestion,MC,,,
ID,RISK-021,,,
Title,Qualitative vs Quantitative Risk Analysis,,,
QuestionText,Which approach to risk analysis uses descriptive scales such as "low, medium, high" to evaluate likelihood and impact?,,,
Points,1,,,
Difficulty,2,,,
Option,100,Qualitative risk analysis,,Correct! Qualitative analysis uses descriptive scales to evaluate risk.
Option,0,Quantitative risk analysis,,Incorrect. Quantitative analysis uses specific numeric values.
Option,0,Hybrid risk analysis,,Incorrect. This combines both approaches but doesn't specifically use descriptive scales.
Option,0,Qualitative-quantitative risk analysis,,Incorrect. This is not a standard risk analysis approach.
Hint,Think about which approach uses words rather than numbers to describe risk levels,,,
Feedback,Qualitative risk analysis uses descriptive scales to evaluate the likelihood and impact of potential risks,,,
,,,, 
//Question 2,,,,
NewQuestion,MC,,,
ID,RISK-022,,,
Title,Risk Rank Formula Components,,,
QuestionText,"In the Risk Rank formula: Risk Rank = (Probability of Event × Potential Impact) / (Minimum Non-Recoverable Cost to Mitigate), what does the denominator represent?",,, 
Points,1,,,
Difficulty,3,,,
Option,0,The severity of consequences if a risk materializes,,Incorrect. This is part of the potential impact.
Option,0,The likelihood that a threat will exploit a vulnerability,,Incorrect. This is the probability of event.
Option,100,The lowest cost required to implement effective controls,,Correct! This represents the minimum non-recoverable cost to mitigate.
Option,0,The efficiency of addressing the risk,,Incorrect. This is what the formula helps determine.
Hint,The denominator is about the cost of implementing controls,,,
Feedback,The denominator represents the minimum non-recoverable cost to mitigate - the lowest cost required to implement effective controls,,,
,,,, 
//MULTISELECT QUESTION TYPE,,,,
//Question 3,,,,
NewQuestion,MS,,,
ID,RISK-023,,,
Title,Cost-Benefit Analysis Components,,,
QuestionText,Which of the following are components of a cost-benefit analysis for security investments? (Select all that apply),,,
Points,2,,,
Difficulty,3,,,
Option,100,Initial implementation costs,,Correct. These include hardware, software, and personnel time.
Option,100,Ongoing operational costs,,Correct. These include maintenance, updates, and administrative overhead.
Option,100,Annual Loss Expectancy (ALE),,Correct. This helps calculate the benefits of controls.
Option,0,Employee satisfaction surveys,,Incorrect. These are not part of security cost-benefit analysis.
Option,100,Risk reduction value,,Correct. This measures how much the control decreases risk.
Hint,Think about what costs and benefits are measured in security investments,,,
Feedback,Cost-benefit analysis includes implementation costs, operational costs, and risk reduction benefits,,,
,,,, 
//Question 4,,,,
NewQuestion,MC,,,
ID,RISK-024,,,
Title,Risk Tolerance Factors,,,
QuestionText,Which factor would most likely influence an organization's risk tolerance?,,,
Points,1,,,
Difficulty,4,,,
Option,0,The color of the office walls,,Incorrect. This has no bearing on risk tolerance.
Option,0,The number of employees who like coffee,,Incorrect. Personal preferences don't affect risk tolerance.
Option,100,The organization's industry and regulatory environment,,Correct! These factors significantly influence risk tolerance.
